code,name,market,per,collected_at,bsns_year,operating_margin,revenue_growth,debt_ratio
002920,유성기업,KRX,,2026-03-27,2024,-0.0014593578696288,0.0421658813823997,133.38182531034929
228850,레이언스,KRX,12.73,2026-03-27,2024,0.0528130629862841,-0.1218457219264246,110.03296558663638
027580,상보,KRX,,2026-03-27,2024,-0.1491947130277426,-0.1863717780201371,206.1732795395814
001390,KG케미칼,KRX,5.83,2026-03-27,2024,0.0359693619911683,-0.0078265014301006,216.2137426794934
007810,코리아써키트,KRX,,2026-03-27,2024,-0.0235640662381699,0.0560878227874633,184.29102028397887
036090,위지트,KRX,87.71,2026-03-27,2024,0.0387036153249637,9.154317552421904,174.54279679878982
236200,슈프리마,KRX,10.41,2026-03-27,2024,0.2151442701253558,0.1437327153456342,109.91795537416058
194370,제이에스코퍼레이션,KRX,3.18,2026-03-27,2024,0.1085065478871163,0.2952526253973881,360.7583672439246
051160,지어소프트,KRX,6.71,2026-03-27,2024,0.053168577794359,0.0752018945506603,140.66524315190827
009270,신원,KRX,15.7,2026-03-27,2024,0.0269470310392413,0.1258974766649535,277.32101209509364
302430,이노메트리,KRX,,2026-03-27,2024,-0.13638915560586,-0.3674674689669538,121.76105155237208
001530,디아이동일,KRX,277.03,2026-03-27,2024,0.0119844126719201,-0.0456110698728029,79.63593920116126
099430,바이오플러스,KRX,20.76,2026-03-27,2024,0.3563861999756124,0.02101218578363,178.8937653342743
083500,에프엔에스테크,KRX,9.71,2026-03-27,2024,0.0995158644282912,1.275552789705058,166.38723071212488
005360,모나미,KRX,,2026-03-27,2024,-0.0286544941547392,-0.0591880046647435,213.12947924390576
204020,그리티,KRX,4.11,2026-03-27,2024,0.0632131733956654,0.1058343909147629,126.69766099891216
007540,샘표,KRX,10.22,2026-03-27,2024,0.0145083329637584,0.0547744197341469,140.8041798174509
005740,크라운해태홀딩스,KRX,4.23,2026-03-27,2024,0.0645515001985335,0.0109654221620073,205.22573375066537
031330,에스에이엠티,KRX,9.42,2026-03-27,2024,0.02331572498195,0.3470313059967065,193.4632672024553
025750,한솔홈데코,KRX,,2026-03-27,2024,0.0348968167765486,0.103536385912538,234.4536832045351
017670,SK텔레콤,KRX,13.82,2026-03-27,2024,0.1016358474787561,0.0188600841945125,157.9996557215078
243840,신흥에스이씨,KRX,13.48,2026-03-27,2024,0.030434777768592,-0.1982409866518887,244.34406905414568
060720,KH바텍,KRX,14.29,2026-03-27,2024,0.0702809647557577,-0.1445666295448869,147.55390148716464
278280,천보,KRX,,2026-03-27,2024,-0.1570033219222666,-0.206817620080284,242.9112664874692
376290,씨유테크,KRX,3.55,2026-03-27,2024,0.040446272599332,0.6432839180600135,119.547777868489
025320,시노펙스,KRX,19.22,2026-03-27,2024,0.0890721847464054,-0.090907846947813,140.43065623209358
037350,성도이엔지,KRX,7.66,2026-03-27,2024,0.0273067420401187,0.4730516792983925,274.75145244148507
039440,에스티아이,KRX,16.7,2026-03-27,2024,0.0816932314991379,0.0455758334229243,141.4033066599952
140670,알에스오토메이션,KRX,,2026-03-27,2024,-0.0483647676546229,-0.0554569451820115,235.1641116737504
049480,오픈베이스,KRX,8.59,2026-03-27,2024,0.0294410460402478,0.1090130958911914,188.6268242225086
004430,송원산업,KRX,4.91,2026-03-27,2024,0.0586937021117548,0.0390543459792713,156.08747404478186
039290,인포뱅크,KRX,,2026-03-27,2024,-0.0375017171657132,-2.9515435488125465e-06,135.03035009640809
093190,빅솔론,KRX,8.84,2026-03-27,2024,0.0830431805195954,0.0496110950565129,111.34163672761686
347770,핌스,KRX,,2026-03-27,2024,-0.0802347965461649,-0.2878328176898967,53.20065931116824
025540,한국단자공업,KRX,5.71,2026-03-27,2024,0.1134682142041517,0.1641182014751653,145.34379101647974
155650,와이엠씨,KRX,9.74,2026-03-27,2024,0.0411180635809795,-0.1803379254047705,138.8192580896481
365900,브이씨,KRX,,2026-03-27,2024,-0.1074300539877892,0.1857025418004281,142.68479100633195
037030,파워넷,KRX,6.54,2026-03-27,2024,0.0412320011874153,0.7333834737035169,181.7656953186753
130500,GH신소재,KRX,6.96,2026-03-27,2024,0.0915777927827278,0.0112730716491315,195.1698912815182
037760,쎄니트,KRX,,2026-03-27,2024,0.0246222798791665,-0.0564107684506473,200.92209478132736
001800,오리온홀딩스,KRX,9.44,2026-03-27,2024,0.1584353917361051,0.0817384658447755,121.61319028866612
004980,성신양회,KRX,5.21,2026-03-27,2024,0.0457920725414755,0.0443288754229727,237.6498016611693
306040,에스제이그룹,KRX,,2026-03-27,2024,-0.0178113661234655,-0.1075800127833742,170.31898627414876
068420,엔터미디어,KRX,,2026-03-27,2024,-0.2992747433296505,-0.04627790592561,807.2508633315095
036890,진성티이씨,KRX,15.26,2026-03-27,2024,0.0625890530619626,-0.1950106663700804,173.60452729985835
265560,영화테크,KRX,6.35,2026-03-27,2024,0.1622721481606695,0.4606729603787028,143.99023198437993
010400,우진아이엔에스,KRX,,2026-03-27,2024,-0.1298051506822566,0.3735636442847827,125.83901043782473
399720,가온칩스,KRX,97.71,2026-03-27,2024,0.0365306229152293,0.5172330605815758,162.5093704471513
075580,세진중공업,KRX,85.5,2026-03-27,2024,0.1021052249589696,-0.0842520072975655,248.95703107996496
005450,신한,KRX,,2026-03-27,2024,-1.3655977660246597,0.0673293690262872,2008.4214325010244
171090,선익시스템,KRX,,2026-03-27,2024,0.0700162032791937,0.8093250673412944,652.5013082183723
036190,금화피에스시,KRX,5.51,2026-03-27,2024,0.1063945678718075,0.0077502392189712,127.94617294061976
103140,풍산,KRX,10.61,2026-03-27,2024,0.071089074033626,0.1040291028314326,186.26740174353515
009150,삼성전기,KRX,48.29,2026-03-27,2024,0.0714006707216312,0.1576277665322257,41.88786637190692
001890,에이치디씨영창,KRX,,2026-03-27,2024,-0.1133542190715156,-0.3595540985354019,-90.0886662436548
072130,유엔젤,KRX,17.38,2026-03-27,2024,0.0148673932004335,0.4477976392086202,118.62013401896412
207760,미스터블루,KRX,,2026-03-27,2024,-0.1926729343779618,-0.0510516921697868,161.60674708166178
094480,갤럭시아머니트리,KRX,402.38,2026-03-27,2024,0.1026679598276308,-0.0273240995402038,325.2264543055914
043370,피에이치에이,KRX,3.92,2026-03-27,2024,0.0446518347157524,0.0160948187901668,133.66607525024307
012320,경동인베스트,KRX,5.74,2026-03-27,2024,1.1983395757331308,0.1137288272224451,127.7385245439675
085910,네오티스,KRX,58.49,2026-03-27,2024,0.0585518452360741,-9.472853853608255e-05,166.51291145287965
018670,SK가스,KRX,12.37,2026-03-27,2024,0.0404707636489236,0.0148227766324133,175.3358734306458
122990,와이솔,KRX,18.05,2026-03-27,2024,0.0012298128108369,0.0142138358095953,114.48525090064604
092200,디아이씨,KRX,23.24,2026-03-27,2024,0.0303588731415224,-0.0130882980255962,409.5073274794898
353200,대덕전자,KRX,185.25,2026-03-27,2024,0.0126208226948906,-0.0192552679738782,124.3525319335164
014280,금강공업,KRX,22.71,2026-03-27,2024,0.0412405553931232,-0.0648163860223615,132.6877681278839
104830,원익머트리얼즈,KRX,16.65,2026-03-27,2024,0.1670967160114896,-0.2067006206229647,121.22552040731354
009470,삼화전기,KRX,12.37,2026-03-27,2024,0.1063368817049694,0.1514699120707911,154.50352564372812
011760,현대코퍼레이션,KRX,2.59,2026-03-27,2024,0.019087439243738,0.063098298687304,214.69914215852975
063760,이엘피,KRX,,2026-03-27,2024,-0.1499330798682549,0.3081799119262415,21.19525004275638
011780,금호석유화학,KRX,9.49,2026-03-27,2024,0.0381277656514076,0.1316681513320449,38.03262232389293
264850,이랜시스,KRX,36.33,2026-03-27,2024,0.0818180810294496,0.0454084883886503,125.67448600972388
054340,피앤텔,KRX,,2026-03-27,2024,0.0766102823159655,0.8189025786906865,-1624.180010307621
059090,미코,KRX,23.62,2026-03-27,2024,0.1750844254037678,0.4162121532399009,161.36477904200507
036460,한국가스공사,KRX,2.69,2026-03-27,2024,35.56211665522059,-0.2102600547975948,532.6781883026939
393890,더블유씨피,KRX,,2026-03-27,2024,-0.220254520810691,0.0560255094384345,186.87918342255193
179900,유티아이,KRX,,2026-03-27,2024,-1.7372741442481603,-0.0413690275261728,215.4728397431542
072990,에이치시티,KRX,9.23,2026-03-27,2024,0.1187053158495883,0.2738372696083779,177.0590907584226
035610,솔본,KRX,2.13,2026-03-27,2024,0.1824087820236344,-0.0097490120723749,119.49146097130809
155660,DSR,KRX,4.65,2026-03-27,2024,0.051167602504841,0.029935361792744,155.1625515133792
068930,디지털대성,KRX,15.46,2026-03-27,2024,0.1088702499739631,0.0291822109763562,109.80633484142226
008120,엠소닉,KRX,,2026-03-27,2024,0.0405066884840301,0.1469813135215932,157.76402159097847
014190,원익큐브,KRX,22.97,2026-03-27,2024,0.0124286749154425,0.1736225835740289,143.49807567736153
277810,레인보우로보틱스,KRX,5154.55,2026-03-27,2024,-0.1539780651149136,0.2679649412788334,105.37072110469607
251970,펌텍코리아,KRX,18.04,2026-03-27,2024,0.1434056671136706,0.1863106927222088,127.1178348453752
006880,신송홀딩스,KRX,13.95,2026-03-27,2024,0.0510503106084386,-0.1491014341249352,238.7703708787604
047400,유니온머티리얼,KRX,,2026-03-27,2024,-0.1522710030405655,-0.0695778515018086,796.3548479790678
071320,지역난방공사,KRX,4.71,2026-03-27,2024,0.0918525412533747,-0.0969694294983576,368.6648683445714
015230,대창단조,KRX,5.16,2026-03-27,2024,0.0933284595625988,-0.1340559856666867,123.56024325209434
003100,선광,KRX,4.49,2026-03-27,2024,0.1947734040586572,0.0078330864754774,166.105145921691
359090,씨엔알리서치,KRX,11.9,2026-03-27,2024,0.06081959822519,0.0832393144741832,181.76917219988613
010040,한국내화,KRX,12.35,2026-03-27,2024,0.0206396947270906,0.0101946778812271,169.27603116533658
014940,오리엔탈정공,KRX,11.49,2026-03-27,2024,0.1199563092701251,0.3159507435884546,195.84364319876204
319660,피에스케이,KRX,30.05,2026-03-27,2024,0.2108383799840992,0.1312643448497869,120.6987450682056
036530,SNT홀딩스,KRX,6.29,2026-03-27,2024,0.1269746176656076,-0.0396691668351925,132.78538975350222
425040,티이엠씨,KRX,16.39,2026-03-27,2024,0.0635049915219592,0.5451245017097924,150.80409067427178
094360,칩스앤미디어,KRX,34.58,2026-03-27,2024,0.1950598147293425,-0.017920884247579,110.81724596814726
119610,인터로조,KRX,1300.67,2026-03-27,2024,0.0502099925301916,-0.0289787026901472,137.92840451662147
033920,무학,KRX,4.84,2026-03-27,2024,0.1109821536352528,0.0374252024629008,119.0326011162834
054800,아이디스홀딩스,KRX,4.48,2026-03-27,2024,0.0808030717470656,0.0438108486539872,137.42677191264326
000100,유한양행,KRX,106.47,2026-03-27,2024,0.0265405486417858,0.1123235698549169,36.79685038567611
052330,코텍,KRX,4.84,2026-03-27,2024,0.0764585702848135,-0.058448322432419,122.89087202287674
053690,한미글로벌,KRX,13.25,2026-03-27,2024,0.0798468049543331,0.028715050398186,206.87419993050744
025980,아난티,KRX,,2026-03-27,2024,0.0028064456003355,-0.682201869403861,128.07005829908869
011560,세보엠이씨,KRX,5.11,2026-03-27,2024,0.0362762775423277,-0.1040989264733817,157.8713621059792
142210,유니트론텍,KRX,4.76,2026-03-27,2024,0.0507198203300176,0.1909313092092115,236.23901871934393
040910,아이씨디,KRX,,2026-03-27,2024,-0.1807673991034507,1.3704316599478854,197.0369039063418
307280,원바이오젠,KRX,8.93,2026-03-27,2024,0.2104673795073453,0.0278553339436288,110.7380164000239
223250,드림씨아이에스,KRX,22.39,2026-03-27,2024,0.0862257716204671,0.2259258799608156,154.84036957374622
039030,이오테크닉스,KRX,117.8,2026-03-27,2024,0.0972161494736464,0.0145598120903425,108.28877047767142
067770,세진티에스,KRX,5.86,2026-03-27,2024,0.0558607574882617,0.2799528406971288,103.1087682946057
357550,석경에이티,KRX,67.09,2026-03-27,2024,0.1461355961185209,0.1328037582896384,23.54723244039942
053700,삼보모터스,KRX,3.08,2026-03-27,2024,0.0345543056448752,0.0902902232927038,316.96169617119386
126340,비나텍,KRX,,2026-03-27,2024,-0.1353876297497419,0.0841934299821503,209.86488123082293
054940,엑사이엔씨,KRX,3.38,2026-03-27,2024,0.0419161801871234,0.1654552121677643,202.43436369439593
030520,한글과컴퓨터,KRX,35.44,2026-03-27,2024,0.1326320074214202,0.1242108461147805,140.4131640417231
035460,기산텔레콤,KRX,5.79,2026-03-27,2024,0.0531452674134338,0.2597740247672127,214.69293873174263
214680,디알텍,KRX,,2026-03-27,2024,-0.1240812824438987,0.0553921663615426,246.35046013415655
038540,상상인,KRX,,2026-03-27,2024,-0.2468592119437355,-0.0712006143691574,895.0604933027244
000270,기아,KRX,6.26,2026-03-27,2024,0.1178900523665458,0.0765499744410341,66.10917034860964
003070,코오롱글로벌,KRX,8.79,2026-03-27,2024,-0.0194606975051856,0.1009146158245072,456.4078748712458
009160,SIMPAC,KRX,9.85,2026-03-27,2024,0.0311477138592197,0.2881486985147737,178.37154367519145
094820,일진파워,KRX,24.06,2026-03-27,2024,0.0532024174761181,0.0118502542506408,197.2382478249188
017800,현대엘리베이터,KRX,17.17,2026-03-27,2024,0.07823751768594,0.1088342966070743,266.24469891078365
054450,텔레칩스,KRX,,2026-03-27,2024,37.34794013451154,-0.3573408141505079,187.3097467400541
037270,YG PLUS,KRX,292.63,2026-03-27,2024,-0.0039609445312304,-0.1732012273701064,140.50620374386682
290520,신도기연,KRX,,2026-03-27,2024,-0.3865305847521044,-0.4893893414300765,119.51846966899409
003380,하림지주,KRX,54.8,2026-03-27,2024,0.0623712667825257,0.0174589340413648,270.60060397660567
060540,에스에이티,KRX,13.52,2026-03-27,2024,0.1837280370995255,-0.0154975950449494,157.92098657245776
003800,에이스침대,KRX,5.35,2026-03-27,2024,0.2031806494214171,0.0638917267926606,10.714686030141053
092300,현우산업,KRX,6.97,2026-03-27,2024,0.0375748963747753,-0.1310974862283242,177.13775044442338
163730,핑거,KRX,114.6,2026-03-27,2024,-0.0065693258733802,-0.1385899537595057,132.2348914043388
002200,한국수출포장공업,KRX,31.87,2026-03-27,2024,-0.0019414685347548,-0.0337592978024903,119.79782560878516
003960,사조대림,KRX,2.83,2026-03-27,2024,0.0503288445955715,0.2810764104981851,253.23127251512864
208370,셀바스헬스케어,KRX,38.05,2026-03-27,2024,0.1032711237180576,0.063378779988258,110.06686751113328
143540,영우디에스피,KRX,,2026-03-27,2024,-0.0842058181646388,0.2353116707694261,276.55750623596157
065510,휴비츠,KRX,10.09,2026-03-27,2024,0.1131194094962322,0.0011734481898475,182.39486436766995
215000,골프존,KRX,5.93,2026-03-27,2024,0.1545647610631628,-0.0950643766326926,48.98092117741849
241590,화승엔터프라이즈,KRX,8.45,2026-03-27,2024,0.0512957201023463,0.326062168903154,272.7460083537014
011160,두산건설,KRX,,2026-03-27,2024,0.049690171896092,0.2665615061973154,378.1656481540894
058730,다스코,KRX,,2026-03-27,2024,-0.0056238857659131,-0.1747763406689558,218.5612792448657
061970,LB세미콘,KRX,,2026-03-27,2024,-0.041749594534443,0.0815462878054889,232.80342056633583
216050,인크로스,KRX,8.75,2026-03-27,2024,0.2054570207270017,0.0426987532369032,236.3905048634788
001460,BYC,KRX,23.36,2026-03-27,2024,0.1442603814448196,-0.018966306665741,126.75484754793294
417500,제이아이테크,KRX,14.47,2026-03-27,2024,0.1519459131591685,0.3212442422798973,73.16251760396348
